변환 전,변환 후 (with $...$)
a,$a$
b,$b$
A  _{c},$A_{c}$
A  _{n},$A_{n}$
A  _{ps},$A_{ps}$
A  _{si},$A_{si}$
i,$i$
A  _{st},$A_{st}$
A ' _{s},$A'_{s}$
d,$d$
f  _{ce},$f_{ce}$
f  _{ck},$f_{ck}$
f' _{s},$f'_{s}$
f  _{pe},$f_{pe}$
f  _{s},$f_{s}$
f  _{y},$f_{y}$
F  _{n},$F_{n}$
F  _{nn},$F_{nn}$
F  _{ns},$F_{ns}$
F  _{nt},$F_{nt}$
F  _{u},$F_{u}$
l  _{n},$l_{n}$
s  _{i},$s_{i}$
i,$i$
w  _{s},$w_{s}$
w  _{t},$w_{t}$
"w  _{t,max}","$w_{t,max}$"
beta   _{s},$\beta _{s}$
beta   _{n},$\beta _{n}$
gamma   _{i},$\gamma _{i}$
i,$i$
DELTA f  _{p},$\Delta f_{p}$
lambda,$\lambda$
phi,$\phi$
phi   _{c},$\phi _{c}$
phi   _{t},$\phi _{t}$
phi F  _{n}  GEQ F  _{u},$\phi F_{n}\geq F_{u}$
F  _{u},$F_{u}$
F  _{n},$F_{n}$
phi,$\phi$
phi   _{c},$\phi _{c}$
phi   _{t},$\phi _{t}$
F  _{ns} =f  _{ce} A_c,$F_{ns}=f_{ce}A_c$
A  _{c},$A_{c}$
f  _{ce},$f_{ce}$
f  _{ce} =0.85 beta   _{s} f  _{ck},$f_{ce}=0.85\beta _{s}f_{ck}$
beta_s,$\beta _s$
beta   _{s},$\beta _{s}$
beta   _{s},$\beta _{s}$
lambda,$\lambda$
lambda,$\lambda$
beta   _{s},$\beta _{s}$
f  _{ck},$f_{ck}$
SMALLSUM  {A  _{si}} over {bs  _{i}} rm`sin  ^{2}  gamma   _{i}  GEQ 0.003,$SMALLSUM\frac{A_{si}}{bs_{i} }rmsin^{2}\gamma _{i}\geq 0.003$
A  _{si},$A_{si}$
gamma   _{i},$\gamma _{i}$
s  _{i},$s_{i}$
F  _{ns} =f  _{ce} A  _{c} +1.13{A'_{s} ``f'_{s},$F_{ns}=f_{ce}A_{c}+1.13{A'_{s}f'_{s}$
`f'_{s},$f'_{s}$
F  _{nt} =A  _{st} f  _{y} +A  _{ps} (f  _{pe} + DELTA f  _{p} ),$F_{nt}=A_{st}f_{y}+A_{ps}(f_{pe}+\Delta f_{p})$
(f  _{pe} + DELTAf  _{p} ),$(f_{pe}+DELTAf_{p})$
f  _{py},$f_{py}$
A  _{ps},$A_{ps}$
DELTA f  _{p},$\Delta f_{p}$
DELTA f  _{p},$\Delta f_{p}$
F  _{nn} =f  _{ce} A  _{n},$F_{nn}=f_{ce}A_{n}$
f  _{ce},$f_{ce}$
A  _{n},$A_{n}$
F  _{u},$F_{u}$
f  _{ce} =0.85 beta   _{n} f  _{ck},$f_{ce}=0.85\beta _{n}f_{ck}$
beta   _{n},$\beta _{n}$
beta_n,$\beta _n$
